unique_word_id,word,frequency,posterior_probability
1,the,1450,0.053430613899329356
2,to,733,0.027010096543592012
3,of,674,0.02483602328837792
4,and,656,0.024172746702041416
5,in,609,0.022440857837718327
6,on,306,0.01127570196772054
7,for,270,0.009949148795047534
8,is,225,0.008290957329206278
9,that,200,0.007369739848183359
10,said,183,0.006743311961087774
11,as,180,0.006632765863365023
12,with,179,0.006595917164124106
13,at,169,0.006227430171714938
14,from,163,0.006006337976269437
15,india,159,0.005858943179305771
16,by,152,0.005601002284619353
17,has,148,0.005453607487655686
18,year,147,0.005416758788414769
19,it,144,0.005306212690692019
20,are,117,0.004311297811187265
21,have,114,0.004200751713464515
22,its,101,0.003721718623332596
23,crore,101,0.003721718623332596
24,this,93,0.003426929029405262
25,was,91,0.0033532316309234284
26,up,90,0.0033163829316825116
27,10,85,0.0031321394354779275
28,he,85,0.0031321394354779275
29,an,84,0.0030952907362370107
30,be,84,0.0030952907362370107
31,not,83,0.003058442036996094
32,but,77,0.0028373498415505934
33,bank,74,0.002726803743827843
34,more,70,0.0025794089468641757
35,also,67,0.002468862849141425
36,indian,62,0.0022846193529368415
37,will,62,0.0022846193529368415
38,new,56,0.0020635271574913406
39,market,55,0.002026678458250424
40,or,55,0.002026678458250424
41,over,54,0.001989829759009507
42,than,53,0.0019529810597685902
43,ai,53,0.0019529810597685902
44,they,52,0.0019161323605276733
45,may,51,0.0018792836612867565
46,about,50,0.0018424349620458397
47,we,50,0.0018424349620458397
48,fuel,49,0.001805586262804923
49,april,48,0.0017687375635640063
50,000,48,0.0017687375635640063
51,which,48,0.0017687375635640063
52,energy,48,0.0017687375635640063
53,2026,47,0.0017318888643230894
54,their,47,0.0017318888643230894
55,prices,47,0.0017318888643230894
56,industry,45,0.0016581914658412558
57,company,45,0.0016581914658412558
58,had,44,0.001621342766600339
59,while,44,0.001621342766600339
60,would,44,0.001621342766600339
61,quarter,44,0.001621342766600339
62,government,43,0.0015844940673594222
63,were,42,0.0015476453681185054
64,billion,42,0.0015476453681185054
65,two,42,0.0015476453681185054
66,march,42,0.0015476453681185054
67,oil,42,0.0015476453681185054
68,first,41,0.0015107966688775885
69,asia,41,0.0015107966688775885
70,foreign,40,0.001473947969636672
71,under,40,0.001473947969636672
72,million,39,0.001437099270395755
73,demand,39,0.001437099270395755
74,after,39,0.001437099270395755
75,rs,39,0.001437099270395755
76,north,39,0.001437099270395755
77,been,38,0.0014002505711548383
78,last,37,0.0013634018719139215
79,mr,37,0.0013634018719139215
80,one,37,0.0013634018719139215
81,2025,36,0.0013265531726730046
82,reuters,36,0.0013265531726730046
83,through,36,0.0013265531726730046
84,investment,36,0.0013265531726730046
85,trade,36,0.0013265531726730046
86,lakh,35,0.0012897044734320878
87,if,35,0.0012897044734320878
88,financial,34,0.001252855774191171
89,growth,34,0.001252855774191171
90,onwards,34,0.001252855774191171
91,profit,34,0.001252855774191171
92,all,34,0.001252855774191171
93,supply,34,0.001252855774191171
94,net,33,0.0012160070749502542
95,there,33,0.0012160070749502542
96,can,33,0.0012160070749502542
97,credit,33,0.0012160070749502542
98,could,33,0.0012160070749502542
99,into,32,0.0011791583757093374
100,during,32,0.0011791583757093374
101,costs,32,0.0011791583757093374
102,higher,32,0.0011791583757093374
103,ceo,31,0.0011423096764684208
104,banks,31,0.0011423096764684208
105,some,31,0.0011423096764684208
106,air,31,0.0011423096764684208
107,war,31,0.0011423096764684208
108,according,30,0.001105460977227504
109,when,30,0.001105460977227504
110,time,29,0.0010686122779865871
111,across,29,0.0010686122779865871
112,since,29,0.0010686122779865871
113,delhi,29,0.0010686122779865871
114,data,29,0.0010686122779865871
115,years,29,0.0010686122779865871
116,inflation,29,0.0010686122779865871
117,gold,29,0.0010686122779865871
118,services,29,0.0010686122779865871
119,china,29,0.0010686122779865871
120,11,28,0.0010317635787456703
121,25,28,0.0010317635787456703
122,months,28,0.0010317635787456703
123,global,28,0.0010317635787456703
124,you,28,0.0010317635787456703
125,high,28,0.0010317635787456703
126,group,27,0.0009949148795047535
127,no,27,0.0009949148795047535
128,west,27,0.0009949148795047535
129,month,27,0.0009949148795047535
130,cost,27,0.0009949148795047535
131,12,26,0.0009580661802638367
132,most,26,0.0009580661802638367
133,business,26,0.0009580661802638367
134,system,25,0.0009212174810229198
135,loans,25,0.0009212174810229198
136,even,25,0.0009212174810229198
137,now,25,0.0009212174810229198
138,korea,25,0.0009212174810229198
139,she,25,0.0009212174810229198
140,next,25,0.0009212174810229198
141,who,25,0.0009212174810229198
142,state,25,0.0009212174810229198
143,capacity,25,0.0009212174810229198
144,airlines,25,0.0009212174810229198
145,international,24,0.0008843687817820031
146,three,24,0.0008843687817820031
147,lower,24,0.0008843687817820031
148,hit,24,0.0008843687817820031
149,nearly,23,0.0008475200825410863
150,per,23,0.0008475200825410863
151,impact,23,0.0008475200825410863
152,such,23,0.0008475200825410863
153,other,23,0.0008475200825410863
154,price,23,0.0008475200825410863
155,30,22,0.0008106713833001695
156,50,22,0.0008106713833001695
157,his,22,0.0008106713833001695
158,total,22,0.0008106713833001695
159,companies,22,0.0008106713833001695
160,increase,22,0.0008106713833001695
161,risk,22,0.0008106713833001695
162,interest,22,0.0008106713833001695
163,iran,22,0.0008106713833001695
164,vehicles,22,0.0008106713833001695
165,flights,22,0.0008106713833001695
166,policy,21,0.0007738226840592527
167,mumbai,21,0.0007738226840592527
168,investors,21,0.0007738226840592527
169,around,21,0.0007738226840592527
170,due,21,0.0007738226840592527
171,both,21,0.0007738226840592527
172,however,21,0.0007738226840592527
173,term,21,0.0007738226840592527
174,rate,21,0.0007738226840592527
175,compared,21,0.0007738226840592527
176,500,20,0.000736973984818336
177,out,20,0.000736973984818336
178,sector,20,0.000736973984818336
179,including,20,0.000736973984818336
180,expected,20,0.000736973984818336
181,scheme,20,0.000736973984818336
182,fiscal,20,0.000736973984818336
183,firms,20,0.000736973984818336
184,only,20,0.000736973984818336
185,your,20,0.000736973984818336
186,wait,20,0.000736973984818336
187,because,20,0.000736973984818336
188,model,20,0.000736973984818336
189,storage,20,0.000736973984818336
190,26,19,0.0007001252855774191
191,told,19,0.0007001252855774191
192,stood,19,0.0007001252855774191
193,still,19,0.0007001252855774191
194,fy26,19,0.0007001252855774191
195,biocon,19,0.0007001252855774191
196,based,19,0.0007001252855774191
197,must,19,0.0007001252855774191
198,where,19,0.0007001252855774191
199,period,19,0.0007001252855774191
200,many,19,0.0007001252855774191
201,what,19,0.0007001252855774191
202,crude,19,0.0007001252855774191
203,economic,19,0.0007001252855774191
