unique_word_id,word,frequency,posterior_probability
1,the,618,0.05297899699957137
2,and,344,0.029489927132447493
3,of,300,0.02571795970852979
4,to,250,0.021431633090441493
5,in,238,0.0204029147021003
6,that,173,0.014830690098585512
7,for,113,0.009687098156879554
8,is,112,0.009601371624517789
9,with,81,0.006943849121303043
10,it,78,0.006686669524217746
11,on,77,0.0066009429918559796
12,as,75,0.006429489927132447
13,are,73,0.006258036862408916
14,brain,70,0.006000857265323617
15,this,68,0.005829404200600086
16,at,66,0.0056579511358765535
17,from,62,0.00531504500642949
18,their,54,0.004629232747535362
19,snakes,51,0.004372053150450065
20,have,50,0.0042863266180882984
21,activity,48,0.004114873553364766
22,they,47,0.004029147021003001
23,can,47,0.004029147021003001
24,physical,47,0.004029147021003001
25,by,46,0.003943420488641235
26,has,45,0.0038576939562794685
27,more,45,0.0038576939562794685
28,be,44,0.0037719674239177024
29,or,44,0.0037719674239177024
30,but,44,0.0037719674239177024
31,not,43,0.0036862408915559366
32,also,41,0.0035147878268324047
33,how,40,0.0034290612944706386
34,dr,37,0.003171881697385341
35,an,36,0.003086155165023575
36,were,35,0.0030004286326618087
37,these,34,0.002914702100300043
38,new,33,0.0028289755679382768
39,said,33,0.0028289755679382768
40,health,32,0.002743249035576511
41,was,32,0.002743249035576511
42,we,30,0.002571795970852979
43,study,29,0.002486069438491213
44,cancer,29,0.002486069438491213
45,cells,28,0.0024003429061294473
46,one,28,0.0024003429061294473
47,research,28,0.0024003429061294473
48,into,27,0.002314616373767681
49,when,27,0.002314616373767681
50,people,27,0.002314616373767681
51,researchers,26,0.002228889841405915
52,other,24,0.002057436776682383
53,medical,24,0.002057436776682383
54,patients,24,0.002057436776682383
55,says,24,0.002057436776682383
56,scientists,23,0.0019717102443206173
57,such,23,0.0019717102443206173
58,about,23,0.0019717102443206173
59,most,22,0.0018859837119588512
60,than,22,0.0018859837119588512
61,change,22,0.0018859837119588512
62,like,21,0.0018002571795970852
63,could,21,0.0018002571795970852
64,across,21,0.0018002571795970852
65,its,21,0.0018002571795970852
66,out,21,0.0018002571795970852
67,what,21,0.0018002571795970852
68,may,20,0.0017145306472353193
69,immune,20,0.0017145306472353193
70,there,19,0.0016288041148735534
71,years,19,0.0016288041148735534
72,long,19,0.0016288041148735534
73,while,19,0.0016288041148735534
74,treatment,19,0.0016288041148735534
75,snake,19,0.0016288041148735534
76,which,18,0.0015430775825117874
77,only,18,0.0015430775825117874
78,up,18,0.0015430775825117874
79,some,18,0.0015430775825117874
80,science,17,0.0014573510501500215
81,mr,17,0.0014573510501500215
82,many,16,0.0013716245177882555
83,found,16,0.0013716245177882555
84,who,16,0.0013716245177882555
85,hiv,16,0.0013716245177882555
86,ai,15,0.0012858979854264896
87,called,15,0.0012858979854264896
88,cell,15,0.0012858979854264896
89,all,15,0.0012858979854264896
90,state,15,0.0012858979854264896
91,system,15,0.0012858979854264896
92,clinical,15,0.0012858979854264896
93,data,15,0.0012858979854264896
94,will,15,0.0012858979854264896
95,you,15,0.0012858979854264896
96,million,14,0.0012001714530647236
97,just,14,0.0012001714530647236
98,used,14,0.0012001714530647236
99,those,14,0.0012001714530647236
100,drug,14,0.0012001714530647236
101,been,14,0.0012001714530647236
102,drugs,14,0.0012001714530647236
103,well,14,0.0012001714530647236
104,free,14,0.0012001714530647236
