heading,category,predicted_category
IS leader killed in Nigeria in joint operation: Trump,World,World
Israel strikes southern Lebanon day after extension of ceasefire,World,World
"Israel killed man in West Bank camp, say Palestinian officials",World,World
"A cargo train hits public bus at Bangkok rail crossing, killing eight",World,Science
Bangladesh anti-terrorism forcearrests ex-soldier after attack plot,World,Sports
"Putin to visit China on May 19, hot on heels of Trump’s trip to Beijing",World,World
‘European countries in talks with Tehran for Hormuz transit’,World,World
Pakistan is set to raise its IMF-backed defence Budget by nearly PKR 100 bn,World,Business
Streeting ‘will runto replace Starmer’as Prime Minister,World,World
Flags to remember,World,Sports
"Tata unit, ASML ink MoU to boost chip making in India",Business,Business
DRL unveils Semaglutide injection generic in Canada,Business,Science
UrsaCompute mulls $300 mn boost to India’s sovereign AI,Business,Business
Reality check of govt.’s LPG stock claim,Business,Editorial
"NHPC Q4 net jumps 68%, topay 21 paisa/share dividend",Business,Business
Ratan Tata Trusts says reviewing Charity Commissioner’s order,Business,Science
Tata Consultancy to focus on industry-specific AI infra,Business,Business
"DLF ultra luxury homes see traction in NCR, Mumbai",Business,Business
‘Global financial situation extremely arduous’,Business,Business
India curbs some silver imports with instant effect,Business,Business
Bethell is a world-class player:RCB bowling coach Salvi,Sports,Sports
Kings’ physio Leipus turns up for pre-match media interaction,Sports,Sports
You don’t captain when you bat: Sangakkara’s advice to Parag,Sports,Sports
"Axar is desperate to do well forCapitals and himself, says Bell",Sports,Sports
"Allen, Raghuvanshi and Narine help Knight Riders stay alive",Sports,Sports
Will PBKS overcome its hoodoo against RCB?,Sports,Sports
KOLKATA KNIGHT RIDERS,Sports,Sports
Capitals run into inconsistent Royals in a do-or-die clash,Sports,Sports
It has been a crazy season: DC’s Bell,Sports,Sports
Suryakumar’s place in T20I squad under the scanner,Sports,Sports
Older dawn of horse-riding could have changed Eurasia,Science,Science
More selective breeding can help pugs breathe easier,Science,Science
Humans’ mercury footprint was evident millennia ago,Science,Science
Clouds of ash,Science,Sports
"IIT-M, IISc team makes carbon-free version of ferrocene sandwich",Science,Science
Constant mechanical force may be why heart cancer is so rare,Science,Science
Focused ultrasound offers new ways to treat eye disease,Science,Science
Diversification gains,Editorial,World
Stuttering Starmer,Editorial,World
One-horse races are no triumph for democracy,Editorial,Sports
Oslo summit must mark India’s northward turn,Editorial,World
Manipur crisis and stability,Editorial,World
Replicating past strategies,Editorial,Science
Govt. wants private sector to respond to concessions,Editorial,Business
African natives’ protests,Editorial,World
A look at the BJP’s playbook in Kerala,Editorial,Sports
Voting patterns of government employees in recent elections,Editorial,Editorial
"As trees fall in thousands, innovative protests erupt across India",Science,Science
For feedback and suggestions,Science,Science
Tough to plan for this trip,Science,World
